catalog_section,scientific_name,status,accepted_filename,source_page,direct_image_url,author_or_artist,license_or_rights,rights_basis,checked_names,decision_notes,last_checked_utc
Plants,Vachellia erioloba,unresolved,,,,,,,"Vachellia erioloba; Acacia erioloba; Acacia giraffae","No exact legally reusable botanical/scientific illustration located in this batch. Available results were photographs or insufficiently attributable; no substitution accepted.",2026-07-11T19:19:23Z
Plants,Brighamia insignis,unresolved,,,,,,,"Brighamia insignis; Brighamia citrina","No exact legally reusable botanical/scientific illustration located in this batch. Available results were photographs; no modern artwork with unclear rights accepted.",2026-07-12T06:18:59Z
Plants,Clusia mangle,unresolved,,,,,,,"Clusia mangle; Clusia venosa","No exact legally reusable botanical/scientific illustration located in this batch. Available result was a photograph; related Clusia species were rejected.",2026-07-12T06:18:59Z
Seeds,Vachellia tortuosa,unresolved,,,,,,,"Vachellia tortuosa; Acacia tortuosa; Mimosa tortuosa; Poponax tortuosa; Acacia leucacantha; Acacia virescens","No exact legally reusable botanical/scientific illustration located in this batch. Available results were photographs or taxonomic text without a reusable plate; no substitution accepted.",2026-07-11T19:19:23Z
Wishlist,Brunnera macrophylla,unresolved,,,,,,,"Brunnera macrophylla; Anchusa myosotidiflora; Brunnera myosotidiflora; Myosotis macrophylla","Historical synonyms were confirmed, but no exact legally reusable botanical plate was located in this pass. No related Boraginaceae illustration was substituted.",2026-07-12T06:18:59Z
Wishlist,Bulbine frutescens,unresolved,,,,,,,"Bulbine frutescens; Bulbine caulescens","Search results were ordinary photographs or descriptive pages; no exact legally reusable botanical/scientific illustration accepted.",2026-07-12T06:18:59Z
"Seeds; Wishlist",Cedrus atlantica,unresolved,,,,,,,"Cedrus atlantica; Cedrus libani var. atlantica; Cedrus libani subsp. atlantica","Taxonomic synonymy was confirmed, but no plate uniquely attributable to the Atlas taxon was found. Generic Cedrus libani artwork was rejected as insufficiently exact.",2026-07-12T06:18:59Z
Seeds,Swietenia mahagoni,unresolved,,,,,,,"Swietenia mahagoni; Cedrela mahagoni; Swietenia mahogani; Swietenia mahogoni","A historical Mark Catesby mahogany plate is documented as the basis for the species name, but this pass did not locate a stable source-image page with explicit reusable-rights metadata. It was not accepted without that source-level verification.",2026-07-12T18:24:06Z
Seeds,Styphnolobium japonicum,unresolved,,,,,,,"Styphnolobium japonicum; Sophora japonica","Exact synonymy was confirmed, but searches returned photographs and taxonomic pages rather than a source-level public-domain botanical plate. No generic Sophora illustration accepted.",2026-07-12T18:24:06Z
Seeds,Caesalpinia pulcherrima yellow form,unresolved,,,,,,,"Caesalpinia pulcherrima yellow form; Caesalpinia pulcherrima var. flava; Poinciana pulcherrima yellow","The catalogue requires the yellow colour form. Species-level plates or red/orange forms were rejected; no exact yellow-form illustration with clear reusable rights was located.",2026-07-12T18:24:06Z
Seeds,Gossypium hirsutum,unresolved,,,,,,,"Gossypium hirsutum; upland cotton; Mexican cotton","Searches produced photographs, scientific papers, and non-specific cotton illustrations. No exact source-level botanical/scientific illustration with clear reusable rights was verified in this pass.",2026-07-12T18:24:06Z
